"",gene_symbol,GSM2715271,GSM2715272,GSM2715273,GSM2715274,GSM2715275,GSM2715276,GSM2715277,GSM2715278,GSM2715279
ENSG00000007516,BAIAP3,0,0,0,0,0,0,1.037,1.0182,2.9507
ENSG00000007520,TSR3,2.9605,0,11.0857,0.9944,5.0435,1.984,37.3425,10.9938,13.0905
ENSG00000007541,PIGQ,0,1.0135,3.0061,0,1.0212,0,10.0558,0,3.0316
ENSG00000007545,CRAMP1,0,0,1.9693,0,0,0,0,0,0.963
ENSG00000007866,TEAD3,0,2.0559,2.9669,0,3.9202,0,3.0632,0,0.977
ENSG00000007908,SELE,0,0,0,0,0,0,0,0,0
ENSG00000007923,DNAJC11,1.0304,0,5.9369,0,3.992,0,16.8915,6.9475,10.4346
ENSG00000007933,FMO3,11.1781,1.0198,0,0,0,1.9326,0,0,0
ENSG00000007944,MYLIP,1.0053,0,3.9823,0,1.9889,0,31.5888,3.9739,11.8419
ENSG00000007952,NOX1,0,0,0.9908,0,0,0,0,0,0
ENSG00000007968,E2F2,0.5193,0.5218,0,0,0,0,0,0,0
ENSG00000008018,PSMB1,10.5825,7.7634,63.6835,8.8665,56.495,3.9051,380.6756,135.2863,74.3775
ENSG00000008056,SYN1,0,0,0,0,0.9773,0,4.8973,0,0
ENSG00000008083,JARID2,0,1.0406,0,0,0,1.0266,0,0,0
ENSG00000008086,CDKL5,0,0,1.9842,1.7395,0,1.0119,4.8608,3.9226,0
ENSG00000008118,CAMK1G,0,0,0,0,0,0,0,0,0
ENSG00000008128,CDK11A,0,0,2.0132,0,0,1.6166,2.5029,0,2.0077
ENSG00000008130,NADK,0.9807,0,1.9774,0,2.9331,1.0195,0,0.982,0
ENSG00000008196,TFAP2B,0,0,0,0,0,0,0,0,0
ENSG00000008197,TFAP2D,0,0,0,0,0,0,0,0,0
ENSG00000008226,DLEC1,0,0,0,0,0,0,0,0,0
ENSG00000008256,CYTH3,0,0,2.997,0,1.0295,0,1.048,1.9567,0
ENSG00000008277,ADAM22,0,0,0.9842,0,0,0,0,0.9838,0
ENSG00000008282,SYPL1,0,2.0107,41.8182,1.0071,17.7424,0.9639,207.3818,42.4702,61.2505
ENSG00000008283,CYB561,0,1.0393,2.007,1.0709,3.0943,0,0,0,2.9741
ENSG00000008294,SPAG9,0.9558,2.7885,4.9223,0,0,0.9695,11.9088,3.9662,6.7874
ENSG00000008300,CELSR3,0,1.9811,0,0,0,0,0,0,0
ENSG00000008311,AASS,0,1.0297,0,1.0042,12.7116,0,4.906,2.9732,0
ENSG00000008323,PLEKHG6,0,0,3.968,0,2.9497,0,0,2.9457,3.9897
ENSG00000008324,SS18L2,1.9071,0,5.084,0,4.1267,1.9432,16.6033,10.2386,7.2763
ENSG00000008382,MPND,0,0,0,0,1.0004,0,0,0,0
ENSG00000008394,MGST1,16.3817,9.7829,48.5572,1.0065,57.5545,5.9226,242.3736,76.3629,82.7138
ENSG00000008405,CRY1,0.9798,0,0,0.9876,3.9927,0,9.9091,3.0176,0.9705
ENSG00000008438,PGLYRP1,0,0,0,0,0,0,0,0,0
ENSG00000008441,NFIX,0,0,0,0,0,0,1.0001,0,1.0238
ENSG00000008513,ST3GAL1,1.9897,0,2.955,1.0173,0,0,33.5701,1.9688,5.9747
ENSG00000008516,MMP25,0,0,0.9878,0,0,0,0,0,0
